id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,eval_number,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,classification_revenu,revenu_log,anciennete_cat
1,41,F,5993,Célibataire,Commercial,Cadre Commercial,8,8,6,4,0,0,1,2,Infra & Cloud,Occasionnel,0,5,2,3,2,4,1,1,E_1,3,Oui,11 %,Très haut revenu,8.69851424787661,Employé intermédiaire
2,49,M,5130,Marié(e),Consulting,Assistant de Direction,1,10,10,7,1,3,8,1,Infra & Cloud,Frequent,1,7,3,2,2,2,4,3,E_2,4,Non,23 %,Très haut revenu,8.543055850941965,Employé expérimenté
4,37,M,2090,Célibataire,Consulting,Consultant,6,7,0,0,0,3,2,2,Autre,Occasionnel,0,0,4,2,1,3,2,3,E_4,3,Oui,15 %,Revenu moyen,7.645397699428633,Nouvel employé 
5,33,F,2909,Marié(e),Consulting,Assistant de Direction,1,8,8,7,0,3,3,4,Infra & Cloud,Frequent,3,0,4,3,1,3,3,3,E_5,3,Oui,11 %,Bon revenu moyen,7.975908360165538,Employé expérimenté
7,27,M,3468,Marié(e),Consulting,Consultant,1,6,2,2,1,3,2,1,Transformation Digitale,Occasionnel,2,2,1,3,1,2,4,3,E_7,3,Non,12 %,Bon revenu moyen,8.15162164696975,Employé junior
8,32,M,3068,Célibataire,Consulting,Consultant,0,8,7,7,0,2,2,2,Infra & Cloud,Frequent,3,6,4,3,1,4,3,2,E_8,3,Non,13 %,Bon revenu moyen,8.029107054619736,Employé expérimenté
10,59,F,2670,Marié(e),Consulting,Consultant,4,12,1,0,3,3,3,3,Transformation Digitale,Occasionnel,0,0,3,4,1,1,1,2,E_10,4,Oui,20 %,Bon revenu moyen,7.890208213109961,Nouvel employé 
11,30,M,2693,Divorcé(e),Consulting,Consultant,1,1,1,0,1,2,24,1,Infra & Cloud,Occasionnel,0,0,4,3,1,3,2,3,E_11,4,Non,22 %,Bon revenu moyen,7.898782356970309,Nouvel employé 
12,38,M,9526,Célibataire,Consulting,Tech Lead,0,10,9,7,0,2,23,3,Infra & Cloud,Frequent,1,8,4,2,3,3,2,3,E_12,4,Non,21 %,Ultra haut revenu,9.161885151706779,Employé expérimenté
13,36,M,5237,Marié(e),Consulting,Manager,6,17,7,7,2,3,27,3,Transformation Digitale,Occasionnel,1,7,3,3,2,3,2,2,E_13,3,Non,13 %,Très haut revenu,8.563695025067657,Employé expérimenté
14,35,M,2426,Marié(e),Consulting,Consultant,0,6,5,4,1,5,16,3,Transformation Digitale,Occasionnel,0,3,1,4,1,2,3,3,E_14,3,Non,13 %,Revenu moyen,7.794411205726601,Employé intermédiaire
15,29,F,4193,Célibataire,Consulting,Consultant,0,10,9,5,0,3,15,2,Infra & Cloud,Occasionnel,0,8,4,2,2,3,4,3,E_15,3,Oui,12 %,Haut revenu,8.341410211461865,Employé expérimenté
16,31,M,2911,Divorcé(e),Consulting,Assistant de Direction,1,5,5,2,1,1,26,1,Infra & Cloud,Occasionnel,4,3,1,3,1,3,4,2,E_16,3,Non,17 %,Bon revenu moyen,7.976595409316577,Employé intermédiaire
18,34,M,2661,Divorcé(e),Consulting,Consultant,0,3,2,2,1,2,19,2,Transformation Digitale,Occasionnel,1,2,2,3,1,4,3,3,E_18,3,Non,11 %,Bon revenu moyen,7.8868329989550565,Employé junior
19,28,M,2028,Célibataire,Consulting,Consultant,5,6,4,2,0,4,24,3,Infra & Cloud,Occasionnel,0,3,3,2,1,3,2,3,E_19,3,Oui,14 %,Revenu moyen,7.615298339825815,Employé intermédiaire
