id_employee,age,revenu_mensuel,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,revenu_log,augmentation_salaire_precedent(%),frequence_deplacement_encoded,classification_revenu_encoded,anciennete_cat_encoded,genre_F,genre_M,statut_marital_Célibataire,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Commercial,departement_Consulting,departement_Ressources Humaines,poste_Assistant de Direction,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,heure_supplementaires_Non,heure_supplementaires_Oui
1,41,5993,Cadre Commercial,8,8,6,4,0,0,1,2,0,5,2,3,2,4,1,1,3,8.69851424787661,11,1,6,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,49,5130,Assistant de Direction,1,10,10,7,1,3,8,1,1,7,3,2,2,2,4,3,4,8.543055850941965,23,2,6,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4,37,2090,Consultant,6,7,0,0,0,3,2,2,0,0,4,2,1,3,2,3,3,7.645397699428633,15,1,3,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,33,2909,Assistant de Direction,1,8,8,7,0,3,3,4,3,0,4,3,1,3,3,3,3,7.975908360165538,11,2,4,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,27,3468,Consultant,1,6,2,2,1,3,2,1,2,2,1,3,1,2,4,3,3,8.15162164696975,12,1,4,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,32,3068,Consultant,0,8,7,7,0,2,2,2,3,6,4,3,1,4,3,2,3,8.029107054619736,13,2,4,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10,59,2670,Consultant,4,12,1,0,3,3,3,3,0,0,3,4,1,1,1,2,4,7.890208213109961,20,1,4,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11,30,2693,Consultant,1,1,1,0,1,2,24,1,0,0,4,3,1,3,2,3,4,7.898782356970309,22,1,4,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12,38,9526,Tech Lead,0,10,9,7,0,2,23,3,1,8,4,2,3,3,2,3,4,9.161885151706779,21,2,7,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
13,36,5237,Manager,6,17,7,7,2,3,27,3,1,7,3,3,2,3,2,2,3,8.563695025067657,13,1,6,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
